Response ID,describe_concern_oldest_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,not really that concerned,unconcerned,,,,,,,
29,none really,unconcerned,,,,,,,
30,I'm wondering how often the app actually uses that without me using the physical Nest Mini.,concerned->access_when_not_using_app,concerned,,,,,,
31,I don't have any. I forgot I had enabled it so clearly I'm not bothered by it.,unconcerned,do_not_recall_authorizing,,,,,,
32,i really dont have any concerns,unconcerned,,,,,,,
34,,,,,,,,,
35,"I remember this was for a Google Assistant enabled device that I had in my kitchen. I no longer use that device, so I am a little concerned that I need to go in and disconnect it. While I was using the device, it was unable to do some basic things that I thought full access should allow it to. For instance, adding things to my calendar or connecting to particular videos on YouTube.",infrequent_use,concerned->permissions_after_deleted_app,concerned,,,,,
36,I am concerned about them using the permissions I have given to build a profile on me.,concerned->tracking,concerned,concerned->permissions,,,,,
37,,,,,,,,,
38,"I'm conserned about who would have access to this data. I don't use the google nest hub anymore, so it shouldn't have access to my full account.",concerned->unecessary_access_to_data,infrequent_use,concerned,,,,,
39,,,,,,,,,
40,I have no issues! I only use this application when I need to fill out forms that have been emailed to me. I understand why it needs to do the things it does in order to help me.,unconcerned,app_beneficial,unconcerned->permissions_necessary,,,,,
41,,,,,,,,,
42,They may be selling my personal information.,concerned->personal_data->selling_data,concerned,concerned->personal_data,,,,,
43,"I wonder if Dropbox does anything with my contacts besides make predictions about who I would like to share my Dropbox folders with. For example, are they keeping a list of people whose contacts use Dropbox so they can potentially target them via advertising?",concerned->permissions->contacts,concerned->personal_data->used_for_advertising,concerned,,,,,
44,"Dropbox shouldn't need my contacts. I think it's to find other users, but still, it's not needed.",concerned->permissions->contacts,concerned->unecessary_access_to_data,concerned,concerned->permissions,,,,
45,"I don't really have any concerns. It only has access to my email, and I have 2FA enabled anyways.",unconcerned,unconcerned->low_permission_level',,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,A part of me wonders why it needs permission to access my Google Drive. I can see myself using this function if I need to link something to someone I am messaging.,unknowns->why_permissions_necessary,unknowns,,,,,,
50,"I use slack because it gives me access to work, but it never occurred to me that using Slack would open up access to things not relevant to why I am there.",concerned->unecessary_access_to_data,concerned,app_beneficial,,,,,
51,,,,,,,,,
52,"I don't know what aspects of Google Fit could be used for other parts of Google. Otherwise, I have no concern.",unconcerned,unknowns->what_permission_allows,unknowns,,,,,
53,I don't know if macOS would sell my data to anyone without my permission.,unknowns->how_data_used,unknowns,,,,,,
54,,,,,,,,,
55,"I have no concern, my whatsApp messenger is very secure",unconcerned,trust_app,,,,,,
56,,,,,,,,,
57,I don't like that my previous movies and history are used for targeted ads.,concerned->tracking,concerned,concerned->personal_data,concerned->personal_data->used_for_advertising,,,,
58,my data can be stolen and used,concerned->data_leak,concerned->misuse,concerned,concerned->personal_data,,,,
59,,,,,,,,,
60,,,,,,,,,
61,I wish no real access was required.,concerned->unecessary_access_to_data,concerned,,,,,,
62,Anything can get hacked.,concerned->data_leak,concerned,concerned->misuse,,,,,
63,,,,,,,,,
64,I think it needs those permissions in order to pass through to my Gmail.,unconcerned->permissions_necessary,unconcerned,,,,,,
65,"I do not use Windows to this extent, so Windows holding these permissions has no upside and only downsides for me.",concerned->permissions,concerned,,,,,,
66,,,,,,,,,
67,"I have none, it is just from logging into youtube on my ps4.",unconcerned,,,,,,,
68,What they can do with my YouTube account information,unconcerned->low_permission_level,unconcerned,,,,,,
69,"Not so much the app itself, but the people behind the app.
 They haven't proven to be the most scrupulous of people.",concerned,concerned->misuse,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,"I don't have any concern of Yahoo! having these permissions as it is beneficial for me to have Yahoo! manage my Google side of things, too.",unconcerned,app_beneficial,unconcerned->permissions_necessary,,,,,
73,My concern is about windows being able to read my emails,concerned->permissions->email,concerned,concerned->permissions,,,,,
74,"I don't know what Shop is, I have never used it. The app is probably using my data for targeted ads without my (current) permission.",,,,,,,,
75,,,,,,,,,
76,I don't want the a[[ to edit or delete anything.,,,,,,,,
77,I think game apps in general shouldn't need a lot of info or permission from my account. Intrusive if it had ask for more info.,,,,,,,,
78,None really. I was aware of this all along.,,,,,,,,
79,I dont know what they would need this information for.,,,,,,,,
80,no concerns (As long as they dont get hacked ofc),,,,,,,,
81,,,,,,,,,
82,"I can't go back in the survey. Earlier I said I didn't remember what this was, but now I see it's just my email linked to my Macbook. I'm not very concerned about it because the information is still staying on my computer as far as I know. It's something I've never questioned.",,,,,,,,
83,N/A,,,,,,,,
84,,,,,,,,,
85,"I was not really aware that it had access to basic account info, so I do have some concerns about that in if it sells that data or if ZIP Extractor gets hacked in some way. But it also feels like every ""app"" has to have permission to access basic account info if it wants to function appropriately.",,,,,,,,
86,I do not understand canvas being able to delete files. Can that happen without it notifying me?,,,,,,,,
87,I didn't know that they could see and download my contacts. That is a bit concerning because I don't know what they do with that data.,,,,,,,,
88,I do not have any concerns.,,,,,,,,
89,"As with any app that requires having access to send emails, I'm always worried about something unauthorized being sent. That being said, I've been using Boomerang for years and haven't noticed anything awry, so I'm not too concerned at this point.",,,,,,,,
90,It doesn't need to see my calendar.,,,,,,,,
91,NOne,,,,,,,,
92,"I'm a little worried that if something were to happen where LG Email gets hacked or there's a security breach that they could send emails from my account, but that seems pretty unlikely and so I think it's worth the risk given how much more convenient it makes things.",,,,,,,,
93,none,,,,,,,,
94,,,,,,,,,
95,Read compose send and permanently delete all your email from gmailjQuery3510829273208396826_1618308888071 really??,,,,,,,,
96,I don't know how long they keep this data.,,,,,,,,
