Response ID,describe_concern_random_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,i did not even know i had this and do not think i have ever used it and i do not remember authorizing it,do_not_recall_authorizing,infrequent_use,,,,,,
29,none really,unconcerned,,,,,,,
30,,,,,,,,,
31,none,unconcerned,,,,,,,
32,,,,,,,,,
34,,,,,,,,,
35,"I am not sure how access to my calendar and contacts is necessary. I use this app specifically to arrange my off days with work, which must be sent 2 to 4 weeks prior to my requested off date. I am not extremely worried about these accesses, but I do want to review them and see how they improve my user experience.",unknowns,unknowns->how_data_used,will_review_app_access,unconcerned,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,I don't use it anymore and they still have access to my photos.,infrequent_use,concerned,concerned->unecessary_access_to_data,concerned->permissions_after_deleted_app,,,,
43,,,,,,,,,
44,"I don't remember authorizing this, so I don't know what this is. I doubt its malicious but I would like to remove it.",do_not_recall_authorizing,will_remove_app_access,unknowns,,,,,
45,"I don't use it at all so I don't really care. The access date is wrong though, it's been connected to the account for years.",infrequent_use,unconcerned,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,I no longer have this application so I am not sure why it needs these permissions.,concerned,concerned->permissions_after_deleted_app,,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,It seems like a lot of access to my account and I don't know why they're necessary for use of the Rakuten cashback program.,concerned,concerned->unecessary_access_to_data,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,Not concerned for YouTubeTV.,unconcerned,,,,,,,
62,None,unconcerned,,,,,,,
63,,,,,,,,,
64,This is some junk game that was downloaded with Cashmagnet.,app_not_beneficial,,,,,,,
65,"I trust the app, but it is still unsettling to know that they hold such information about me.",trust_app,concerned,concerned->personal_data,,,,,
66,,,,,,,,,
67,,,,,,,,,
