Response ID,describe_concern_random_app,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,i did not even know i had this and do not think i have ever used it and i do not remember authorizing it,do_not_recall_authorizing,,,,,,,
29,none really,unconcerned,,,,,,,
30,,,,,,,,,
31,none,unconcerned,,,,,,,
32,,,,,,,,,
34,,,,,,,,,
35,"I am not sure how access to my calendar and contacts is necessary. I use this app specifically to arrange my off days with work, which must be sent 2 to 4 weeks prior to my requested off date. I am not extremely worried about these accesses, but I do want to review them and see how they improve my user experience.",will_review_app_access,unconcerned,unknowns->how_data_used,unknowns,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,I don't use it anymore and they still have access to my photos.,infrequent_use,concerned->permissions,concerned,,,,,
43,,,,,,,,,
44,"I don't remember authorizing this, so I don't know what this is. I doubt its malicious but I would like to remove it.",do_not_recall_authorizing,unknowns,will_remove_app_access,,,,,
45,"I don't use it at all so I don't really care. The access date is wrong though, it's been connected to the account for years.",infrequent_use,unconcerned,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,I no longer have this application so I am not sure why it needs these permissions.,infrequent_use,unknowns->how_data_used,unknowns,,,,,
50,,,,,,,,,
51,,,,,,,,,
52,It seems like a lot of access to my account and I don't know why they're necessary for use of the Rakuten cashback program.,concerned->permissions,unknowns->how_data_used,unknowns,concerned,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,Not concerned for YouTubeTV.,unconcerned,,,,,,,
62,None,unconcerned,,,,,,,
63,,,,,,,,,
64,This is some junk game that was downloaded with Cashmagnet.,app_not_beneficial,,,,,,,
65,"I trust the app, but it is still unsettling to know that they hold such information about me.",trust_app,concerned->personal_data,concerned,,,,,
66,,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,"I don't feel any particular concerns about Windows.
 

 Again: even if I did..
 ..What exactly can I do about it? At this point this platform is already deeply integrated into my life.
 

 :-)",unconcerned,resigned,,,,,,
70,,,,,,,,,
71,,,,,,,,,
72,"While I don't like giving CameraFi Live any permissions, I wouldn't be able to use their app otherwise. I like using it so I will continue giving it permission in the future.",concerned->permissions,app_beneficial,concerned,,,,,
73,"Since i no longer use the app, there's no need of keeping my details attached to it",infrequent_use,concerned->unecessary_access_to_data,concerned,,,,,
74,,,,,,,,,
75,,,,,,,,,
76,I rarely use Dropbox and want to get rid of it.,infrequent_use,will_remove_app_access,,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,I dont like it ahving full access to my drive files,concerned->permissions->google_drive,concerned,concerned->permissions,,,,,
81,,,,,,,,,
82,I don't have any concerns about this because it allows the app to function as I need.,unconcerned->permissions_necessary,unconcerned,,,,,,
83,I'm not sure how this application would manipulate my account given it has full access,unknowns->what_permission_allows,unknowns,,,,,,
84,,,,,,,,,
85,,,,,,,,,
86,Why does it need to connection my information on google through Windows? This is just my computer software.,,,,,,,,
87,"I honestly don't remember what this service is for, which is the most concerning part.",,,,,,,,
88,,,,,,,,,
89,I trust the macOS integration to be up to snuff.,,,,,,,,
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,none,,,,,,,,
94,,,,,,,,,
95,"none, most games have these conditions for google play.",,,,,,,,
96,"This app only needs my email to log into it, nothing more.",,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,I don't really have none. I trust Samsung even though I switched from Samsung to Google Pixel.,,,,,,,,
100,,,,,,,,,
101,"While I do have reservations over Rakuten having access to my inbox, they also have not seemingly betrayed my trust up to this point.",,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
106,,,,,,,,,
107,None,,,,,,,,
108,,,,,,,,,
109,,,,,,,,,
110,,,,,,,,,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,Only concern would be clash of clans deleting or being unable to update properly.,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,I don't like any app having my personal information. I want to know what they do with it.,,,,,,,,
120,Seems fine?,,,,,,,,
121,"Not sure why it needs Google Drive access, it shouldn't be creating anything in there.",,,,,,,,
122,Just unclear what they mean by associate me with my personal info,,,,,,,,
123,,,,,,,,,
124,,,,,,,,,
125,,,,,,,,,
