Response ID,rfl_what_settings,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,,,,,,,,,
29,,,,,,,,,
30,I would just get rid of the ones I don't use at all anymore.,remove_app_access,remove_app_access->unused_apps,,,,,,
31,,,,,,,,,
32,,,,,,,,,
34,"I would like to remove several of the apps that have access to my account, as I do not use them and don't want them to have access to my data if I am not benefitting from them.",remove_app_access,remove_app_access->unused_apps,,,,,,
35,I will revoke access to some apps that I do not foresee using in the near future. And see about changing access to apps that I do use to make sure the accesses are necessary for my user experience.,remove_app_access,remove_app_access->unused_apps,change_permissions,change_permissions->remove_unnecessary,,,,
36,I would change contacts access.,change_permissions,change_permissions->contacts,,,,,,
37,,,,,,,,,
38,I would change access to the apps that I no longer use (google hub),remove_app_access,remove_app_access->unused_apps,,,,,,
39,,,,,,,,,
40,I don't know if I understood the question.,,,,,,,,
41,,,,,,,,,
42,I will limit access to only apps I use on a regular basis.,remove_app_access,remove_app_access->unused_apps,,,,,,
43,,,,,,,,,
44,I would delete and change the apps that have access to my google account.,remove_app_access,remove_app_access->apps_with_account_access,,,,,,
45,I'd remove the apps I'm not using,remove_app_access,remove_app_access->unused_apps,,,,,,
46,,,,,,,,,
47,I would not allow them access to anything if possible.,remove_app_access,remove_app_access->all,,,,,,
48,I would revoke account access from all the apps that have access.,remove_app_access,remove_app_access->all,,,,,,
49,I would definitely remove many of the apps that I do not use anymore. They absolutely do not need to be linked to my Google account anymore. Even while using the app I feel that it did not need that access.,remove_app_access,remove_app_access->unused_apps,,,,,,
50,There are apps I do not use and do not recall allowing access to my google account,remove_app_access,remove_app_access->unused_apps,remove_app_access->unfamiliar_apps,,,,,
51,,,,,,,,,
52,Remove settings I don't feel are needed for individual apps.,change_permissions,change_permissions->remove_unnecessary,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,,,,,,,,,
56,"I am pleased with my settings so far, but always feel I need to remain diligent so that my privacy does not become compromised. As such, I plan on removing Apps should they link to my account.",remove_app_access,remove_app_access->apps_with_account_access,,,,,,
57,,,,,,,,,
58,,,,,,,,,
59,There is an app that has access to my account that I didn't realize it did. I will probably remove that app's access as I don't use it and don't feel comfortable allowing it access.,remove_app_access,remove_app_access->apps_with_account_access,remove_app_access->unfamiliar_apps,,,,,
60,"I would delete the app that I don't access so often anymore, so they won't have access to my google account.",remove_app_access,remove_app_access->unused_apps,,,,,,
61,,,,,,,,,
62,I would removed access.,remove_app_access,,,,,,,
63,I would eliminate access to those accounts that I don't use anymore and I would make sure all access is limited,remove_app_access,remove_app_access->unused_apps,change_permissions,change_permissions->limit_access,,,,
64,I would revoke permissions for many of these apps. I do not use many of them.,remove_app_access,remove_app_access->unused_apps,,,,,,
65,I would remove old apps that I no longer use.,remove_app_access,remove_app_access->unused_apps,,,,,,
66,I would likely remove some of the apps that I no longer use or are no longer relevant to me.,,,,,,,,
67,,,,,,,,,
68,,,,,,,,,
69,I will change what apps have access to what settings.,change_permissions,change_permissions->limit_access,,,,,,
70,,,,,,,,,
71,The storage access for the app,change_permissions,change_permissions->storage,,,,,,
72,,,,,,,,,
73,I would change most apps that have access to my account,remove_app_access,remove_app_access->apps_with_account_access,,,,,,
74,I will be removing Shop from access.,remove_app_access,remove_app_access->specific_app,,,,,,
75,,,,,,,,,
76,I will delete apps I don't use and change user names for apps I do use.,remove_app_access,remove_app_access->unused_apps,use_separate_account_for_app_access,,,,,
77,,,,,,,,,
78,,,,,,,,,
79,,,,,,,,,
80,remove powerdirector,remove_app_access,remove_app_access->specific_app,,,,,,
81,,,,,,,,,
82,I would delete some of the apps that I don't use regularly.,remove_app_access,remove_app_access->unused_apps,,,,,,
83,I would change which apps are connected to my account by removing a few,remove_app_access,remove_app_access->some_apps,,,,,,
84,,,,,,,,,
