Response ID,rfl_what_review,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,,,,,,,,,
29,if I still need it connected,review_app_access,review_app_access->unused_apps,,,,,,
30,If I only installed it once and don't use it anymore.,review_app_access,review_app_access->unused_apps,,,,,,
31,just to see if any games I've deleted are on there,review_app_access,review_app_access->unused_apps,,,,,,
32,,,,,,,,,
34,"I will review the apps that have access to my account and determine whether or not any should be removed. I will also check to make sure that the apps only have access to public information on my Google profile, and nothing more personal than that.",review_app_access,review_app_access->permissions,review_app_access->permissions->account_info,remove_app_access,,,,
35,,,,,,,,,
36,The type of information is has access to regarding my profile. Especially contacts.,review_app_access,review_app_access->permissions->account_info,review_app_access->permissions,,,,,
37,"Any apps that I am no longer using, to revoke access. Any apps with more than basic permissions.",remove_app_access,remove_app_access->unused_apps,review_app_access->necessary_permissions_only,review_app_access->permissions,,,,
38,,,,,,,,,
39,What information the apps with access gather,review_app_access,review_app_access->what_data_is_accessible,,,,,,
40,To check on the accounts listed and if I want to purge any or adjust the permissions.,review_app_access,review_app_access->permissions,remove_app_access,change_permissions,,,,
41,I would make sure that only apps I've given permission to and regularly use have access to my account.,remove_app_accessreview_app_access,review_app_access->unused_apps,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,Apps I don't remember authorizing or apps I don't use anymore.,review_app_access,review_app_access->unused_apps,review_app_access->do_not_remember_authorizing,,,,,
45,Apps that I haven't used in a while,review_app_access,review_app_access->unused_apps,,,,,,
46,To see if any accounts that I don't remember authorizing show up,review_app_access,review_app_access->do_not_remember_authorizing,,,,,,
47,What apps have access to what. I do not want my personal info on the web.,review_app_access,review_app_access->permissions,review_app_access->what_data_is_accessible,,,,,
48,To see if any suspicious apps are using my data.,review_app_access,review_app_access->suspicious_apps,,,,,,
49,I would look to see if there are the same or more apps that have more permission to my account. I would like to remove them as I will after this survey.,review_app_access,review_app_access->necessary_permissions_only,remove_app_access,,,,,
50,I would look for apps I was not aware had access to my google account,review_app_access,review_app_access->do_not_remember_authorizing,,,,,,
51,What type of access apps/websites have. For example mine are all Basic Account information but I know they can request access to most parts of my device and account.,review_app_access,review_app_access->what_data_is_accessible,review_app_access->permissions,review_app_access->permissions->account_info,,,,
52,Make sure there aren't excess permissions for apps I'm using.,review_app_access,review_app_access->necessary_permissions_only,review_app_access->permissions,,,,,
53,What apps i've given permissions to and what data they can access,review_app_access,review_app_access->what_data_is_accessible,review_app_access->permissions,,,,,
54,If I had accidentally given permission to any apps and didn't revoke it afterwards,review_app_access,review_app_access->accidentally_added,,,,,,
55,i will look to see if its more secured,assess_risks,,,,,,,
56,"I would look at which Apps I have granted access, and change them accordingly. I am already prone to removing Apps from my account permissions, so it is more so me staying on top of things.",review_app_access,change_permissions,remove_app_access,,,,,
57,Anything unnecessary. Any possible breaches of security.,review_app_access,review_app_access->unncessary_access,review_app_access->privacy,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,"I will see which apps that I give permission to access my google account and then, if needed, I will delete some apps that I don't use anymore.",remove_app_access,remove_app_access->unused_apps,review_app_access,review_app_access->permissions,,,,
61,If they actually get used anymore.,review_app_access,review_app_access->unused_apps,,,,,,
62,,,,,,,,,
63,Which apps are allowed and how much access they are allowed,review_app_access,review_app_access->how_much_access_allowed,,,,,,
64,I would look to see if the app is still useful. If not I would remove permissions for those apps.,review_app_access,review_app_access->unused_apps,change_permissions,,,,,
65,"See if any permissions have changed, or if I still wish to have some apps connected to my account.",review_app_access,review_app_access->permissions_changed,review_changes,,,,,
66,"I would check to see if I've used any of the apps recently (like, within the past 3 months or so), if not then I would delete their access to my account.",remove_app_access,remove_app_access->unused_apps,review_app_access,review_app_access->unused_apps,,,,
67,Things I don't remember authorizing to use my account.,review_app_access,review_app_access->do_not_remember_authorizing,,,,,,
68,,,,,,,,,
69,I'll look for other apps which I am not using anymore!,review_app_access,review_app_access->unused_apps,,,,,,
70,What kind of information they have access to,review_app_access,review_app_access->what_data_is_accessible,,,,,,
71,The privacy level,review_app_access,review_app_access->privacy,,,,,,
72,"This survey made me realize I need to review this setting more often. I would make sure the app(s) is/are something that I am still using. If not, then I would need to remove the permissions and uninstall the app(s).",review_app_access,review_app_access->unused_apps,remove_app_access,remove_app_access->unused_apps,,,,
73,Privacy concerns,wants_to_protect_personal_data,,,,,,,
74,I will look to see if I have given any other apps access.,review_app_access,review_app_access->new_apps_with_access,,,,,,
75,,,,,,,,,
76,Make sure I haven't use my gmail account for any apps by mistake.,review_app_access,review_app_access->new_apps_with_access,review_app_access->accidentally_added,,,,,
77,,,,,,,,,
78,Nothing really. I think it's pretty useful and straightforward.,apps_with_access_page_useful,,,,,,,
79,What information they have access to.,review_app_access,review_app_access->what_data_is_accessible,,,,,,
80,new services,review_app_access,review_app_access->new_apps_with_access,,,,,,
81,not certain,uncertain,,,,,,,
82,I would look for only keeping the apps I think are necessary for my daily uses.,review_app_access,review_app_access->unused_apps,remove_app_access,remove_app_access->unused_apps,,,,
83,,,,,,,,,
84,"It's good to know what apps have access to my Google stuff. As time passes, I forget about some apps. So every once in a while, it's good to look through to see if I need to remove an app.",review_app_access,remove_app_access,remove_app_access->unused_apps,,,,,
85,"I would just make sure that there aren't any random third party apps that I may have accidentally authorized, especially because at this time I am on my computer so often using various extensions and services.",review_app_access,review_app_access->accidentally_added,,,,,,
86,,,,,,,,,
