Response ID,fut_features,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,more transparaency,more_transparency,,,,,,,
29,monthly reminders,notifications,notifications->reminders,notifications->reminders->monthly,,,,,
30,None,none,,,,,,,
31,a way to set a date reminder to check,notifications,notifications->reminders,notifications->reminders->by_date,,,,,
32,none i like it now honestly,none,,,,,,,
34,"I would like to see how often I sign into the apps, to help determine how necessary it is to continue allowing them access.",more_transparency,more_transparency->app_usage_log,,,,,,
35,"I cannot think of any way this could be more useful. When you click, it expands, and you get additional info about the access the app has.",none,,,,,,,
36,Ability to pause the information that are currently being fed to the apps.,ability_to_limit_access,ability_to_limit_access->temporarily_block_app_access,,,,,,
37,none,none,,,,,,,
38,a quick easy way to (1) edit the amount of access that each thrid party app has and (2) delete apps I no longer want,permission_level_control,easier_access_removal,,,,,,
39,A way to remove access,easier_access_removal,,,,,,,
40,A fast delete button/express removal,easier_access_removal,,,,,,,
41,To see what kinds of information the app is using.,more_transparency,more_transparency->what_data_accessible,,,,,,
42,Notifications to review periodically.,notifications,notifications->to_review,,,,,,
43,"I think it would be useful for them to show when I last used an app and when the app last used my data, to see if the app is using my data even when I have not used the app in a while.",more_transparency,more_transparency->data_access_logs,more_transparency->app_usage_log,,,,,
44,N/A,none,,,,,,,
45,App filtering by date installed/authorized,improved_user_interface,improved_user_interface->filter_by_authorization_date,,,,,,
46,Not sure,unsure,,,,,,,
47,Disable which apps have access to what.,permission_level_control,,,,,,,
48,Quick delete any apps that have access.,easier_access_removal,,,,,,,
49,None that II can think of.,none,,,,,,,
50,easy delete or block button ... notice of access,easier_access_removal,notifications,notifications->when_account_accessed,,,,,
51,The option to immediately disconnect all of an app's access and a report feature if something seems shady or intrusive.,easier_access_removal,more_transparency,more_transparency->misuse_reports,,,,,
52,Any sort of insight into why the apps have the permissions they have. Being able to sort by type(s) of permissions would also be great.,improved_user_interface,improved_user_interface->sort_apps_by_permission_type,more_transparency,more_transparency->detailed_permission_explanation,,,,
53,None,none,,,,,,,
54,The list of apps and sites that are linked in some way but don't have direct access,more_transparency,more_transparency->listing_of_sites_indirectly_accessing,,,,,,
55,ability to log in and access easily,improved_user_interface,improved_user_interface->easier_to_access_page,,,,,,
56,"I would like the ability to temporarily block certain App access, or schedule them to only have access within certain times.",ability_to_limit_access,ability_to_limit_access->temporarily_block_app_access,,,,,,
57,Maybe just some more specific icos for the labels. I like the layout otherwise.,improved_user_interface,improved_user_interface->specific_icons,,,,,,
58,I'd like to secure my data supplied to Google.,ability_to_secure_data,,,,,,,
59,I would like if it was easier to find the page in the first place or make it more prominent because I'm not even sure I know how to get to it. I'd also like to know how and what exactly these apps do with the information they get about me.,improved_user_interface,improved_user_interface->easier_to_access_page,,,,,,
60,None that I can think of.,none,,,,,,,
61,Not sure.,unsure,,,,,,,
62,none,none,,,,,,,
63,It might be nice if access was automatically removed after a period of time if the app had not been used.,ability_to_limit_access,ability_to_limit_access->remove_access_if_not_used,,,,,,
64,I don't know.,unsure,,,,,,,
65,Change permissions from the page itself. Also set some permissions you would like to never share.,permission_level_control,permission_level_control->set_some_permissions_never_use,,,,,,
66,"I can't think of any new features that would improve it. I think it's an extremely helpful tool already. Easy to access, navigate, and understand.",none,,,,,,,
67,I can't think of any.,none,,,,,,,
68,The ability to see which data they have accessed or kept from me.,more_transparency,more_transparency->data_access_logs,,,,,,
69,I never really put any thought into that.. ..Nothing comes to mind!,none,,,,,,,
70,How long the app has had access to my account,more_transparency,more_transparency->when_access_authorized,,,,,,
71,The location which the app will be operating from,more_transparency,more_transparency->location_of_app_access,,,,,,
72,It is good as is. It has a sleek design and you can click on each app to expand for more details. I would not add or remove anything.,none,,,,,,,
73,None,none,,,,,,,
74,Nothing that I can think of.,none,,,,,,,
75,none to be honest,none,,,,,,,
76,NA,none,,,,,,,
77,Maybe a more detailed page of what the app is using from my account.,more_transparency,more_transparency->what_parts_of_account_accessible,,,,,,
78,None I can think of.,none,,,,,,,
79,Easy to remove.,easier_access_removal,,,,,,,
80,None,none,,,,,,,
81,cannot think of any off hand,none,,,,,,,
82,I can't think of any features I'd add.,none,,,,,,,
83,N/A,none,,,,,,,
84,n/a,none,,,,,,,
85,"Some new features that could be added is a breakdown of what specific data the app currently has that is used or is using, alerts on apps that were added that could be prone to vulnerability, and also the number of times/when I signed in to the Google Apps.",more_transparency,more_transparency->app_usage_log,more_transparency->data_access_logs,more_transparency->vulnerability_alert,,,,
86,Distinguishing between apps that act alone vs. ones that need to ask for your permission to do things.,more_transparency,more_transparency->what_app_needs_to_work,,,,,,
87,A way to remove or change what they access to.,ability_to_limit_access,,,,,,,
88,None.,none,,,,,,,
89,"I would like to see the last time one of these permissions was used. (i.e a ""Last used x days ago"" or ""[app] performed [activity that requires permission] x days ago"").",more_transparency,more_transparency->permission_usage_log,,,,,,
90,don't know,unsure,,,,,,,
91,Probably none,none,,,,,,,
92,I can't really think of any features I would want added. All the information I can think I'd want is there already.,none,,,,,,,
93,I don't know.,none,,,,,,,
94,An option to have even more detail of what was exactly being accessed.,more_transparency,more_transparency->what_parts_of_account_accessible,,,,,,
95,none,none,,,,,,,
96,not sure at the moment,none,,,,,,,
97,a listing of when access was given and when it was last used,more_transparency,more_transparency->when_access_authorized,more_transparency->app_usage_log,,,,,
98,None,none,,,,,,,
99,"Being able to remove permissions from the list or to have more detail about what each permission needs, like to access pictures--why?",permission_level_control,more_transparency,more_transparency->detailed_permission_explanation,,,,,
100,I don't look at the page enough to have any meaningful suggestions,none,,,,,,,
101,Can't really think of any at the moment.,none,,,,,,,
102,Push notifications if something changes.,notifications,notifications->upon_changes,,,,,,
103,Possibly highlight certain Apps or services that are known to cause issues.,more_transparency,more_transparency->misuse_reports,,,,,,
104,N/A.,none,,,,,,,
105,Edit button to change preferences directly,improved_user_interface,improved_user_interface->edit_preferences_directly,,,,,,
106,none,none,,,,,,,
107,"I can't think of any right now. Maybe how they got access, more specific than ""you gave it to them"". A couple of these I know I used their website but don't remember giving them access to anything.",more_transparency,more_transparency->how_access_was_authorized,,,,,,
108,"I don't see myself ever visiting the page again, so I think it's fine as is.",none,,,,,,,
109,Ways to alter what permissions have been given.,permission_level_control,,,,,,,
