Response ID,fut_features,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
27,more transparaency,more_transparency,,,,,,,
29,monthly reminders,notifications->reminders->monthly,notifications,,,,,,
30,None,none,,,,,,,
31,a way to set a date reminder to check,notifications->reminders->by_date,notifications,,,,,,
32,none i like it now honestly,none,,,,,,,
34,"I would like to see how often I sign into the apps, to help determine how necessary it is to continue allowing them access.",more_transparency,,,,,,,
35,"I cannot think of any way this could be more useful. When you click, it expands, and you get additional info about the access the app has.",none,,,,,,,
36,Ability to pause the information that are currently being fed to the apps.,ability_to_limit_access,,,,,,,
37,none,none,,,,,,,
38,a quick easy way to (1) edit the amount of access that each thrid party app has and (2) delete apps I no longer want,ability_to_limit_access,ability_to_limit_access->remove_access_if_not_used,,,,,,
39,A way to remove access,more_transparency->how_to_remove_information,more_transparency,,,,,,
40,A fast delete button/express removal,easier_access_removal,,,,,,,
41,To see what kinds of information the app is using.,more_transparency->what_data_accessible,more_transparency,,,,,,
42,Notifications to review periodically.,notifications->reminders->by_date,notifications,,,,,,
43,"I think it would be useful for them to show when I last used an app and when the app last used my data, to see if the app is using my data even when I have not used the app in a while.",more_transparency->data_access_logs,more_transparency,,,,,,
44,N/A,none,,,,,,,
45,App filtering by date installed/authorized,improved_user_interface->filter_by_authorization_date,improved_user_interface,,,,,,
46,Not sure,unsure,,,,,,,
47,Disable which apps have access to what.,ability_to_limit_access,,,,,,,
48,Quick delete any apps that have access.,easier_access_removal,,,,,,,
49,None that II can think of.,none,,,,,,,
50,easy delete or block button ... notice of access,easier_access_removal,notifications->when_account_accessed,notifications,,,,,
51,The option to immediately disconnect all of an app's access and a report feature if something seems shady or intrusive.,ability_to_limit_access,more_transparency->misuse_reports,more_transparency,,,,,
52,Any sort of insight into why the apps have the permissions they have. Being able to sort by type(s) of permissions would also be great.,more_transparency,improved_user_interface->sort_apps_by_permission_type,improved_user_interface,,,,,
53,None,none,,,,,,,
54,The list of apps and sites that are linked in some way but don't have direct access,more_transparency->listing_of_sites_indirectly_accessing,more_transparency,,,,,,
55,ability to log in and access easily,improved_user_interface->easier_to_access_page,improved_user_interface,,,,,,
56,"I would like the ability to temporarily block certain App access, or schedule them to only have access within certain times.",ability_to_limit_access,ability_to_limit_access->temporarily_block_app_access,ability_to_limit_access->time_limits,,,,,
57,Maybe just some more specific icos for the labels. I like the layout otherwise.,improved_user_interface->specific_icons,improved_user_interface,,,,,,
58,I'd like to secure my data supplied to Google.,ability_to_secure_data,,,,,,,
59,I would like if it was easier to find the page in the first place or make it more prominent because I'm not even sure I know how to get to it. I'd also like to know how and what exactly these apps do with the information they get about me.,improved_user_interface->easier_to_access_page,improved_user_interface,more_transparency,more_transparency->how_data_used,,,,
60,None that I can think of.,none,,,,,,,
61,Not sure.,unsure,,,,,,,
62,none,none,,,,,,,
63,It might be nice if access was automatically removed after a period of time if the app had not been used.,ability_to_limit_access,ability_to_limit_access->remove_access_if_not_used,,,,,,
64,I don't know.,unsure,,,,,,,
65,Change permissions from the page itself. Also set some permissions you would like to never share.,permission_level_control,permission_level_control->set_some_permissions_never_use,,,,,,
66,"I can't think of any new features that would improve it. I think it's an extremely helpful tool already. Easy to access, navigate, and understand.",none,,,,,,,
67,I can't think of any.,none,,,,,,,
68,The ability to see which data they have accessed or kept from me.,more_transparency,more_transparency->what_data_accessible,,,,,,
69,I never really put any thought into that.. ..Nothing comes to mind!,none,,,,,,,
70,How long the app has had access to my account,more_transparency,more_transparency->when_access_authorized,,,,,,
71,The location which the app will be operating from,more_transparency,more_transparency->location_of_app_access,,,,,,
72,It is good as is. It has a sleek design and you can click on each app to expand for more details. I would not add or remove anything.,,,,,,,,
73,None,,,,,,,,
74,Nothing that I can think of.,,,,,,,,
75,none to be honest,,,,,,,,
76,NA,,,,,,,,
77,Maybe a more detailed page of what the app is using from my account.,,,,,,,,
78,None I can think of.,,,,,,,,
79,Easy to remove.,,,,,,,,
80,None,,,,,,,,
81,cannot think of any off hand,,,,,,,,
82,I can't think of any features I'd add.,,,,,,,,
83,N/A,,,,,,,,
84,n/a,,,,,,,,
85,"Some new features that could be added is a breakdown of what specific data the app currently has that is used or is using, alerts on apps that were added that could be prone to vulnerability, and also the number of times/when I signed in to the Google Apps.",,,,,,,,
86,Distinguishing between apps that act alone vs. ones that need to ask for your permission to do things.,,,,,,,,
87,A way to remove or change what they access to.,,,,,,,,
88,None.,,,,,,,,
