Response ID,google_recall_app_yes_purpose,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,To see my gmail name,personal_info,,,,,,,
5,Making a sign-in process easier.,sign_in,,,,,,,
10,I allowed that access in case I wanted to easily connect with my contacts through the app.,contacts,ease_of_use,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,todoist task manager,specific_app_or_service,specific_app_or_service->todoist,,,,,,
16,To use Twitter for notifications,specific_app_or_service,specific_app_or_service->twitter,notifications,,,,,
19,,,,,,,,,
21,Using my contacts and calendar information,contacts,calendar,,,,,,
22,shopping,shopping,,,,,,,
24,It was required,necessary,,,,,,,
25,I was adding an event to my Google calendar,calendar,specific_app_or_service,,,,,,
26,,,,,,,,,
28,It was as part of my work for a job that i had and the connection allowed me to sync my organizations calendar and contacts with my email to minimize communication lag.,work_related,necessary,utility,utility->synch_info,calendar,contacts,ease_of_use,
29,just to get around having to create a new account for said app,sign_in,specific_app_or_service,,,,,,
30,To see my personal info such as my full name.,personal_info,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
35,It was for recording a work meeting.,utility,work_related,,,,,,
36,"Zoom, to allow it to add meetings to my calendar",specific_app_or_service,specific_app_or_service->zoom,calendar,,,,,
39,,,,,,,,,
40,,,,,,,,,
42,Peloton,specific_app_or_service,specific_app_or_service->peloton,,,,,,
46,So that the app can get my information directly without myself putting the information again.,personal_info,ease_of_use,,,,,,
47,,,,,,,,,
50,to be able to use the app,necessary,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,Ease of use,ease_of_use,,,,,,,
55,,,,,,,,,
56,Amazon Prime,specific_app_or_service,,,,,,,
58,I gave a ringtone app access to my contacts and messages so that it can change the notification/ringtone sounds.,utility,contacts,,,,,,
59,To transfer files,utility,utility->file_transfer,,,,,,
60,accessing the third party app,necessary,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
64,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
72,I allowed an airline app to set up events to notify me of my flights in the future.,specific_app_or_service,notifications,calendar,,,,,
73,To install an app,necessary,,,,,,,
74,,,,,,,,,
75,To enable specific features of the app or service,necessary,,,,,,,
78,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
84,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
93,To allow access to the calendar and make setting meetings more convenient for me.,calendar,ease_of_use,,,,,,
95,"Gosh.. ..I'm trying to recall!
 This isn't something I invoke very often, ya know — I'm not, like, a traditional techie.
 I'm an almost-40 year old who, through most of my life, basically had to go 'without' the more luxurious aspects of technology.
 Accordingly, I've largely-eschewed immersing myself too deeply with these things.",no_recall,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,youtube,specific_app_or_service,specific_app_or_service->youtube,,,,,,
100,,,,,,,,,
101,,,,,,,,,
103,Its purpose was to collect data.,personal_info,,,,,,,
104,Calendly - for accessing google calendar and reminder.,specific_app_or_service,specific_app_or_service->calendly,calendar,notifications,,,,
105,,,,,,,,,
107,,,,,,,,,
108,I wanted to share access to a class calendar.,calendar,,,,,,,
109,,,,,,,,,
111,An extension for google docs that builds bibliographies,specific_app_or_service,specific_app_or_service->google_docs,,,,,,
112,,,,,,,,,
113,,,,,,,,,
115,,,,,,,,,
116,It is so I can use the service as it required a login.,sign_in,,,,,,,
117,Usually it's just so I can access whatever free information they're forcing me to have an account for.,sign_in,necessary,,,,,,
