Response ID,google_recall_app_yes_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,I considered how much information they could gather from me,personal_information,personal_information->amount_collected,,,,,,
5,How inconvenient it would be to register for an account if I didn't grant access.,convenience,convenience->account_creation,,,,,,
10,"I considered the legitimacy of the app, and the likelihood that it would be useful to allow it third-party access to my Google account.",is_trusted,is_trusted->app,is_app_useful,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,if the permissions are coorrect,permissions,permissions->correct,,,,,,
16,Unsure,unsure,,,,,,,
19,,,,,,,,,
21,nothing again,nothing,,,,,,,
22,security,security,,,,,,,
24,Nothing. Just that it was sop,nothing,,,,,,,
25,How easy it was to add the event to my calendar and translate the time zone.,ease_of_use,,,,,,,
26,,,,,,,,,
28,Security and the organizations history for protecting customer data.,security,is_trusted,is_trusted->company,,,,,
29,simply making sure i was not going to receive a host of unwanted emails!,unwanted_emails,,,,,,,
30,If it could see too much or possibly if it could gain access to my personal emails.,personal_information,personal_information->amount_collected,personal_information->email,,,,,
31,,,,,,,,,
32,,,,,,,,,
35,It was a pop up so I didn't consider it much at all.,nothing,,,,,,,
36,briefly considered security and privacy risks,security,privacy,,,,,,
39,,,,,,,,,
40,,,,,,,,,
42,I did not consider anything.,nothing,,,,,,,
46,Though I allowed the third part app to access information I was concerned about the security.,security,,,,,,,
47,,,,,,,,,
50,if the app would be safe,safety_of_app,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,Security/privacy,security,privacy,,,,,,
55,,,,,,,,,
56,I made no considerations.,nothing,,,,,,,
58,"Images of CSI hoodie-wearing hackers with green code flashing by popped in my mind but then I chuckled and thought to myself that the gubbment is always watching already so what do I care. And since it's being offered on the Google app store, it's probably mostly safe...probably.",unconcerned,transfer_of_trust,transfer_of_trust->from_google,,,,,
59,The convenience of transferring via google,convenience,,,,,,,
60,information security,security,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
64,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
69,,,,,,,,,
70,,,,,,,,,
72,"Is this app trustworthy, and does it deserve the permissions it is requesting?",is_trusted,is_trusted->app,permissions,permissions->necessary,,,,
73,Looking to see if there was another app that did not require those permissions,permissions,permissions->alternate_app_with_fewer,,,,,,
74,,,,,,,,,
75,whether or not I want that app or service to have that kind of access to my account information,comfort_with_app_or_service,comfort_with_app_or_service->access_to_information,,,,,,
78,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
84,,,,,,,,,
86,,,,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
93,How convenient it would be for me.,convenience,,,,,,,
95,I had to decide if the roll of the die was alright for me.,unsure,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,could have connected a different way,other_options,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
103,I took into account my personal info.,personal_information,,,,,,,
104,That the website is reputable and it is safe to sign in using my google account.,is_trusted,is_trusted->website,,,,,,
105,,,,,,,,,
107,,,,,,,,,
108,I thought that it was important to keep up with my course schedule.,is_app_useful,,,,,,,
109,,,,,,,,,
111,Whether I really wanted them to have that info or not.,comfort_with_app_or_service,comfort_with_app_or_service->access_to_information,,,,,,
112,,,,,,,,,
113,,,,,,,,,
115,,,,,,,,,
116,"I check the various options listed that gives various permission on my google account. I usually uncheck the ones dealing with contact info, pictures/media stuff.",permissions,permissions->contact_info,permissions->media,,,,,
