Response ID,google_recall_sso_yes_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
1,,,,,,,,,
2,That I did not want to fill out information and it would be easier to use my google account,ease_of_use,ease_of_use->fills_in_information,,,,,,
3,,,,,,,,,
4,I considered my safety and the safety of my information,security,security->information,,,,,,
5,,,,,,,,,
10,"I thought about whether or not the website was trustworthy, and if it would be secure to sign in using my Gmail account.",security,security->sign_in,trust,trust->website,,,,
12,,,,,,,,,
13,"how long it would take me to sign up, what access to my info they would have",security,security->information,ease_of_use,ease_of_use->how_long,,,,
14,why they want my google info,unknowns,unknowns->use_of_information,,,,,,
16,Unsure,unsure,,,,,,,
19,Nothing really. I often use my Google Account to sign into third-party apps without worrying too much about it.,unconcerned,unconcerned->use_often,,,,,,
21,nothing I do it all the time so I do not really think about it,unconcerned,unconcerned->use_often,,,,,,
22,security,security,,,,,,,
24,the effort of making a new account versus sharing my google info,tradeoff,tradeoff->account_creation,tradeoff->sharing_information,ease_of_use,ease_of_use->account_creation,,,
25,How easy it was to log in using Google rather than creating a separate account.,ease_of_use,ease_of_use->account_creation,tradeoff,tradeoff->account_creation,fewer_accounts,,,
26,If it was what I used as the sign-in or had another username,remember_login,,,,,,,
28,,,,,,,,,
29,nothing i knew it would be safe with that app and i would not receive any unwanted emails which is the only thing i really would consider using it with third party apps,unconcerned,trust,trust->app,trust->no_unwanted_email,,,,
30,It is easier and more convenient than making a brand new account to some third party website.,ease_of_use,ease_of_use->account_creation,fewer_accounts,,,,,
31,If they kept my info.,unknowns,unknowns->do_they_keep_information,security,security->information,,,,
32,Nothing.,unconcerned,,,,,,,
35,I considered signing in with my usual log in info but i found this to be much faster and simpler.,ease_of_use,ease_of_use->simple,,,,,,
36,whether I wanted to create a separate account for the service or just use my google account,fewer_accounts,,,,,,,
39,I tried to remember if I had created an account before and if I remembered my username/password.,remember_login,,,,,,,
40,"Nothing really, I assume google is pretty strict about how applications can use there sign on service. In fact it's just a sign on service, I doubt they have access to anything",unconcerned,unconcerned->assume-secure,trust,trust->google,,,,
42,"I considered if I was using a safe site, worried that my password may be compromised if I'm entering it into a third-party site.",security,security->sign_in,,,,,,
46,I was concerned with the security of my account.,security,security->sign_in,,,,,,
47,The ease of not having to make a new account or remember a new password.,ease_of_use,ease_of_use->account_creation,fewer_accounts,remember_login,,,,
50,password,security,security->sign_in,,,,,,
51,,,,,,,,,
52,The time it would take to create a new account on that site,ease_of_use,ease_of_use->account_creation,,,,,,
53,nothing specific,unconcerned,,,,,,,
55,What other sign in options were provided,other_options,,,,,,,
56,I made no considerations.,unconcerned,,,,,,,
58,"It was easier than signing up (creating a new username, password, security questions, 2-step authorization setup, confirming active email, etc).",ease_of_use,ease_of_use->account_creation,,,,,,
59,Wether to use facebook sign in or google,other_options,other_options->facebook,,,,,,
60,Information Third-party would receive,security,security->information,unknowns,unknowns->information_access,,,,
61,What access the third-party would have to my email account,unknowns,unknowns->email_access,,,,,,
62,"In this particular case, not a whole lot given there is no sensitive information involved. However, with other services, I do consider whether I want Google as a company have the information that I am involved in that particular application, or information which I may enter into said application.",unconcerned,security,security->information,distrust,distrust->google,,,
64,If it was a legitimate website,trust,trust->website,,,,,,
66,How convenient it would be,ease_of_use,,,,,,,
67,I considered that it would be easier to sign in now that I didn't have to remember a username and password.,ease_of_use,ease_of_use->fills_in_information,remember_login,,,,,
69,Whether or not it was safe,security,,,,,,,
70,,,,,,,,,
72,"What permissions does this app require, what control will it have over my data, and will it look bad having this app connected to my account?",unknowns,unknowns->information_access,unknowns->use_of_information,,,,,
73,Username and password.,remember_login,,,,,,,
74,what data they would take,unknowns,unknowns->use_of_information,,,,,,
75,Whether or not I wanted them to have access to my google account details,security,security->sign_in,,,,,,
78,"Privacy reasons, whether I wanted others to see my email",privacy,,,,,,,
