Response ID,google_recall_sso_no_consider,Code 1,Code 2,Code 3,Code 4,Code 5,Code 6,Code 7,Code 8
1,Protection and privacy of my data.,security,privacy,,,,,,
2,,,,,,,,,
3,Protection and privacy of my data.,security,privacy,,,,,,
4,,,,,,,,,
5,Previous privacy issues that the app/service have had and how secure I feel my data is being kept.,privacy,security,trust,trust->app,,,,
10,,,,,,,,,
12,"I would want to know that my information is secure and that it would only be used by trusted parties which i authorize and who have been vetted by Google to be determine secure and trustworthy. Furthermore, that my information would be deleted immediatly upon exiting the service and not stored.",security,trust,unknowns,unknowns->do_they_keep_information,,,,
13,,,,,,,,,
14,,,,,,,,,
16,,,,,,,,,
19,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
28,I would prefer other options first before using my google account to sign in. If the organization is proven trustworthy then I would be open to using this however.,other_options,trust,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
42,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
50,,,,,,,,,
51,"I would consider it. I usually use Facebook to sign into a third-party app, but I would use google if I was no longer using Facebook.",other_options,other_options->facebook,,,,,,
52,,,,,,,,,
53,,,,,,,,,
55,,,,,,,,,
56,,,,,,,,,
58,,,,,,,,,
59,,,,,,,,,
60,,,,,,,,,
61,,,,,,,,,
62,,,,,,,,,
64,,,,,,,,,
66,,,,,,,,,
67,,,,,,,,,
69,,,,,,,,,
70,"I would consider my data privacy, and choose not to link my Google account with the third party app if at all possible. I dont want third party companies to access any of my Google data.",privacy,,,,,,,
72,,,,,,,,,
73,,,,,,,,,
74,,,,,,,,,
75,,,,,,,,,
78,,,,,,,,,
80,,,,,,,,,
81,,,,,,,,,
84,,,,,,,,,
86,How would my information be sold or shared with other third parties?,unknowns,unknowns->use_of_information,,,,,,
87,,,,,,,,,
88,,,,,,,,,
89,,,,,,,,,
90,,,,,,,,,
93,,,,,,,,,
95,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,Whether or not the third party would retain my log in info or track me.,unknowns,unknowns->do_they_keep_information,unknowns->use_of_information,,,,,
101,,,,,,,,,
103,,,,,,,,,
104,,,,,,,,,
105,,,,,,,,,
107,,,,,,,,,
108,I would consider whether I want the particular website tied to my Google account.,,,,,,,,
109,,,,,,,,,
111,,,,,,,,,
112,I don't use it because I don't want more things linked to my google account that could be compromised.,,,,,,,,
113,,,,,,,,,
115,"My own privacy, and whether the app would use it for anything malicious, or to use my account to do things I would not it want it to.",,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,I do not usually use my google account to sign in. I prefer an individual sign in with each app and service,,,,,,,,
125,,,,,,,,,
126,,,,,,,,,
127,,,,,,,,,
128,,,,,,,,,
129,,,,,,,,,
130,,,,,,,,,
132,How reputable to the site is.,,,,,,,,
135,,,,,,,,,
137,,,,,,,,,
138,,,,,,,,,
140,,,,,,,,,
141,,,,,,,,,
142,,,,,,,,,
143,,,,,,,,,
146,,,,,,,,,
147,,,,,,,,,
148,,,,,,,,,
149,,,,,,,,,
150,,,,,,,,,
151,,,,,,,,,
152,,,,,,,,,
154,,,,,,,,,
155,,,,,,,,,
156,,,,,,,,,
157,,,,,,,,,
158,,,,,,,,,
159,,,,,,,,,
160,,,,,,,,,
162,,,,,,,,,
163,,,,,,,,,
164,,,,,,,,,
165,privacy,,,,,,,,
166,,,,,,,,,
167,"I'd consider if I want my email linked to their app or service, assuming that they'll be sending me multiple emails a week. I'd also question if it would have any actual benefit, considering Google Chrome saves login information anyway.",,,,,,,,
168,,,,,,,,,
170,,,,,,,,,
171,,,,,,,,,
172,,,,,,,,,
174,,,,,,,,,
175,I would not do it cause thats something I don't do.,,,,,,,,
177,,,,,,,,,
179,,,,,,,,,
180,,,,,,,,,
182,,,,,,,,,
184,not sure,,,,,,,,
186,,,,,,,,,
187,,,,,,,,,
188,,,,,,,,,
189,,,,,,,,,
191,,,,,,,,,
192,,,,,,,,,
194,,,,,,,,,
195,,,,,,,,,
198,,,,,,,,,
199,,,,,,,,,
200,,,,,,,,,
201,,,,,,,,,
202,,,,,,,,,
203,,,,,,,,,
204,,,,,,,,,
207,,,,,,,,,
208,,,,,,,,,
209,,,,,,,,,
210,,,,,,,,,
212,,,,,,,,,
213,,,,,,,,,
214,"I would consider what the site is, how often I'd use it, whether or not I trust the site, what their privacy settings are, and if I even want to do that.",,,,,,,,
215,,,,,,,,,
216,,,,,,,,,
217,,,,,,,,,
220,,,,,,,,,
221,,,,,,,,,
222,,,,,,,,,
223,,,,,,,,,
225,,,,,,,,,
226,,,,,,,,,
228,,,,,,,,,
230,,,,,,,,,
231,,,,,,,,,
233,,,,,,,,,
234,,,,,,,,,
235,,,,,,,,,
236,,,,,,,,,
237,,,,,,,,,
238,privacy,,,,,,,,
239,,,,,,,,,
241,,,,,,,,,
242,,,,,,,,,
245,,,,,,,,,
246,,,,,,,,,
248,,,,,,,,,
249,,,,,,,,,
250,,,,,,,,,
251,,,,,,,,,
253,"i mostly consider the idea that i shouldnt be required to sign in to see the content, so i refuse to use my account to sign in and typically can still view the content, so i see no reason to affiliate my account with my activity in such a manner",,,,,,,,
255,,,,,,,,,
256,,,,,,,,,
257,,,,,,,,,
258,,,,,,,,,
259,,,,,,,,,
260,,,,,,,,,
261,,,,,,,,,
262,,,,,,,,,
263,,,,,,,,,
264,,,,,,,,,
266,,,,,,,,,
