"participant_id","sso_how_secure","sso_how_data_used","sso_whether_delete","sso_whether_tell_change","sso_who_else","sso_how_often_review","app_how_secure","app_how_data_used","app_whether_delete","app_whether_tell_change","app_who_else","app_what_part_access","app_how_often_review","keep_choice_newest_app","recall_newest_app","last_use_newest_app","aware_prior_newest_app","access_beneficial_newest_app","access_concerned_newest_app","access_change_newest_app","keep_choice_random_app","recall_random_app","last_use_random_app","aware_prior_random_app","access_beneficial_random_app","access_concerned_random_app","access_change_random_app","keep_choice_oldest_app","recall_oldest_app","last_use_oldest_app","aware_prior_oldest_app","access_beneficial_oldest_app","access_concerned_oldest_app","access_change_oldest_app","rfl_understand_link","rfl_understand_access","rfl_change_settings","rfl_six_month_review","fut_remind","fut_reapprove","fut_approve_every","fut_block_data"
"48","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yearly","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yearly","Keep","Yes","Today","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Keep","No","Unsure","No","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Keep","Yes","In the previous year","Unsure","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Unsure","Unsure","Once a year","I do not want to reapprove apps","Neither agree nor disagree","Neither agree nor disagree"
"40","Agree","Agree","Agree","Agree","Agree","Monthly","Agree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Monthly","Keep","Yes","In the previous week","Yes","Strongly agree","Disagree","Strongly disagree","Unsure","Yes","In the previous month","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Keep","Yes","In the previous year","Yes","Agree","Neither agree nor disagree","Disagree","Strongly agree","Strongly agree","No","Yes","Once a month","I do not want to reapprove apps","Strongly disagree","Strongly disagree"
"58","Agree","Agree","Agree","Agree","Agree","Never","Agree","Agree","Agree","Agree","Agree","Agree","Never",,,,,,,,,,,,,,,"Unsure","No","In the previous year","No","Strongly disagree","Agree","Neither agree nor disagree","Agree","Agree","Yes","Yes","Once a month","Once a month","Neither agree nor disagree","Neither agree nor disagree"
"50","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Rarely","Neither agree nor disagree","Strongly disagree","Disagree","Disagree","Disagree","Strongly disagree","Rarely","Remove","Yes","In the previous month","Unsure","Agree","Disagree","Disagree","Keep","Unsure","In the previous year","Unsure","Neither agree nor disagree","Disagree","Disagree","Keep","No","Today","No","Disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly agree","Unsure","Yes","Once a year","Once a year","Strongly disagree","Strongly agree"
"55","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Weekly","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Rarely","Keep","Yes","In the previous week","Yes","Strongly agree","Strongly disagree","Disagree",,,,,,,,"Keep","Yes","In the previous month","No","Neither agree nor disagree","Disagree","Disagree","Strongly agree","Strongly agree","No","Unsure","Once a month","Once a year","Neither agree nor disagree","Agree"
"36","Strongly agree","Agree","Agree","Agree","Strongly agree","Rarely",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agree","Agree","Yes","Yes","Once a year","Once a year","Neither agree nor disagree","Agree"
"51","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Never","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Never","Unsure","Unsure","Unsure","No","Disagree","Agree","Agree","Keep","Yes","In the previous year","Yes","Strongly agree","Strongly disagree","Disagree","Keep","Yes","In the previous year","Yes","Neither agree nor disagree","Disagree","Agree","Agree","Agree","Yes","Unsure","Once a year","Once a year","Disagree","Neither agree nor disagree"
"27","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yearly","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Monthly","Keep","No","Unsure","No","Strongly disagree","Strongly disagree","Strongly disagree",,,,,,,,"Keep","Yes","Today","Yes","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Agree","Yes","Yes","Once a month","Once a month","Agree","Agree"
"62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agree","Agree","No","Yes","Once a year","Once a year","Disagree","Disagree"
"77","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Never","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Never","Keep","Yes","Today","Yes","Strongly agree","Disagree","Strongly disagree",,,,,,,,"Remove","Yes","More than a year ago","Yes","Strongly disagree","Agree","Strongly agree","Agree","Agree","Yes","Unsure","Once a year","Once a year","Disagree","Strongly agree"
