"id","survey_app_id_id","necessary","concerned","understand","category","permission","keep_choice","selection","recall","last_use","aware_prior","access_beneficial","access_concerned","access_change","installed_on","days_since_install"
"117","172","Necessary","Moderately concerned","Confident","Basic account info","See and add to your Google Fit physical activity data","Keep","oldestApp","Yes","In the previous year","Unsure","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","2020-11-21 19:36:58.000000","150"
"118","172","Necessary","Moderately concerned","Confident","Basic account info","See and add info about your body measurements and heart rate to Google Fit","Keep","oldestApp","Yes","In the previous year","Unsure","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","2020-11-21 19:36:58.000000","150"
"119","169","Necessary","Slightly concerned","Confident","Gmail","View your email messages and settings","Keep","newestApp","Yes","Today","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-01-09 17:04:15.000000","101"
"120","169","Necessary","Slightly concerned","Confident","Basic account info","See your personal info, including any personal info you've made publicly available","Keep","newestApp","Yes","Today","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-01-09 17:04:15.000000","101"
"121","169","Necessary","Slightly concerned","Confident","Basic account info","See your primary Google Account email address","Keep","newestApp","Yes","Today","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-01-09 17:04:15.000000","101"
"122","168","Not necessary","Concerned","Not confident","Google Contacts","See and download your contacts","Keep","randomApp","No","Unsure","No","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2020-12-06 14:42:20.000000","135"
"123","168","Not necessary","Concerned","Not confident","Basic account info","See your personal info, including any personal info you've made publicly available","Keep","randomApp","No","Unsure","No","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2020-12-06 14:42:20.000000","135"
"124","168","Not necessary","Concerned","Not confident","Basic account info","See your primary Google Account email address","Keep","randomApp","No","Unsure","No","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2020-12-06 14:42:20.000000","135"
"125","192","Necessary","Slightly concerned","Moderately confident","Gmail","Read, compose, send, and permanently delete all your email from Gmail","Keep","oldestApp","Yes","In the previous year","Yes","Agree","Neither agree nor disagree","Disagree","2014-06-02 13:14:04.000000","2514"
"126","180","Very necessary","Not concerned","Very confident","Basic account info","See your primary Google Account email address","Keep","newestApp","Yes","In the previous week","Yes","Strongly agree","Disagree","Strongly disagree","2021-04-02 17:35:37.000000","18"
"127","180","Very necessary","Not concerned","Very confident","Basic account info","See your personal info, including any personal info you've made publicly available","Keep","newestApp","Yes","In the previous week","Yes","Strongly agree","Disagree","Strongly disagree","2021-04-02 17:35:37.000000","18"
"128","180","Very necessary","Not concerned","Very confident","Additional access","View and manage your access on Google Developers","Keep","newestApp","Yes","In the previous week","Yes","Strongly agree","Disagree","Strongly disagree","2021-04-02 17:35:37.000000","18"
"129","186","Very necessary","Not concerned","Confident","Gmail","Send email on your behalf","Unsure","randomApp","Yes","In the previous month","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-03-13 18:55:01.000000","38"
"130","186","Very necessary","Not concerned","Confident","Gmail","View and modify but not delete your email","Unsure","randomApp","Yes","In the previous month","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-03-13 18:55:01.000000","38"
"131","186","Very necessary","Not concerned","Confident","Google Contacts","See, edit, download, and permanently delete your contacts","Unsure","randomApp","Yes","In the previous month","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-03-13 18:55:01.000000","38"
"132","186","Very necessary","Not concerned","Confident","Basic account info","See your primary Google Account email address","Unsure","randomApp","Yes","In the previous month","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-03-13 18:55:01.000000","38"
"133","186","Very necessary","Not concerned","Confident","Basic account info","See your personal info, including any personal info you've made publicly available","Unsure","randomApp","Yes","In the previous month","Yes","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","2021-03-13 18:55:01.000000","38"
"134","198","Slightly necessary","Slightly concerned","Moderately confident","Basic account info","Full account access","Unsure","oldestApp","No","In the previous year","No","Strongly disagree","Agree","Neither agree nor disagree","2020-10-07 11:56:23.000000","195"
"135","201","Necessary","Not concerned","Moderately confident","Google Play","Create, edit, and delete your Google Play Games activity","Keep","oldestApp","No","Today","No","Disagree","Strongly disagree","Strongly disagree","2017-10-19 05:55:47.000000","1279"
"136","199","Very necessary","Not concerned","Very confident","Google Docs","See, create, and edit all Google Docs documents you have access to","Remove","newestApp","Yes","In the previous month","Unsure","Agree","Disagree","Disagree","2021-02-20 06:55:18.000000","59"
"137","199","Very necessary","Not concerned","Very confident","Google Docs","See, edit, create, and delete your spreadsheets in Google Drive","Remove","newestApp","Yes","In the previous month","Unsure","Agree","Disagree","Disagree","2021-02-20 06:55:18.000000","59"
"138","199","Not necessary","Not concerned","Moderately confident","Basic account info","See your personal info, including any personal info you've made publicly available","Remove","newestApp","Yes","In the previous month","Unsure","Agree","Disagree","Disagree","2021-02-20 06:55:18.000000","59"
"139","199","Very necessary","Not concerned","Very confident","Basic account info","See your primary Google Account email address","Remove","newestApp","Yes","In the previous month","Unsure","Agree","Disagree","Disagree","2021-02-20 06:55:18.000000","59"
"140","200","Very necessary","Not concerned","Confident","Google Drive","See, create, and delete its own configuration data in your Google Drive","Keep","randomApp","Unsure","In the previous year","Unsure","Neither agree nor disagree","Disagree","Disagree","2019-10-19 22:48:12.000000","549"
"141","200","Necessary","Not concerned","Confident","Google Play","Create, edit, and delete your Google Play Games activity","Keep","randomApp","Unsure","In the previous year","Unsure","Neither agree nor disagree","Disagree","Disagree","2019-10-19 22:48:12.000000","549"
"142","204","Slightly necessary","Not concerned","Moderately confident","Basic account info","View your YouTube TV subscription details","Keep","oldestApp","Yes","In the previous month","No","Neither agree nor disagree","Disagree","Disagree","2020-04-24 01:59:53.000000","361"
"143","203","Moderately necessary","Not concerned","Very confident","Basic account info","See your primary Google Account email address","Keep","newestApp","Yes","In the previous week","Yes","Strongly agree","Strongly disagree","Disagree","2021-02-10 16:19:40.000000","69"
