"id","perm1_concerned","perm1_necessary","perm1_understand","perm2_concerned","perm2_necessary","perm2_understand","perm3_concerned","perm3_necessary","perm3_understand","perm4_concerned","perm4_necessary","perm4_understand","perm5_concerned","perm5_necessary","perm5_understand","perm6_concerned","perm6_necessary","perm6_understand"
"122",,,,,,,,,,,,,,,,,,
"123",,,,"Concerned","Not necessary","Not confident",,,,,,,,,,,,
"124","Concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"119",,,,,,,,,,,,,,,,,,
"120",,,,"Slightly concerned","Necessary","Confident",,,,,,,,,,,,
"121","Slightly concerned","Necessary","Confident",,,,,,,,,,,,,,,
"117",,,,,,,,,,,,,,,,,,
"118",,,,,,,,,,,,,,,,,,
"126","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"127",,,,"Not concerned","Very necessary","Very confident",,,,,,,,,,,,
"128",,,,,,,,,,,,,,,,,,
"129",,,,,,,,,,,,,,,,,,
"130",,,,,,,,,,,,,,,,,,
"131",,,,,,,,,,"Not concerned","Very necessary","Confident",,,,,,
"132","Not concerned","Very necessary","Confident",,,,,,,,,,,,,,,
"133",,,,"Not concerned","Very necessary","Confident",,,,,,,,,,,,
"125",,,,,,,"Slightly concerned","Necessary","Moderately confident",,,,,,,,,
"134",,,,,,,,,,,,,,,,,,
"136",,,,,,,,,,,,,,,,,,
"137",,,,,,,,,,,,,,,,,,
"138",,,,"Not concerned","Not necessary","Moderately confident",,,,,,,,,,,,
"139","Not concerned","Very necessary","Very confident",,,,,,,,,,,,,,,
"140",,,,,,,,,,,,,,,,,,
"141",,,,,,,,,,,,,"Not concerned","Necessary","Confident",,,
"135",,,,,,,,,,,,,"Not concerned","Necessary","Moderately confident",,,
"143","Not concerned","Moderately necessary","Very confident",,,,,,,,,,,,,,,
"144",,,,"Not concerned","Necessary","Very confident",,,,,,,,,,,,
"145",,,,,,,,,,,,,,,,,,
"146",,,,,,,,,,,,,,,,,,
"147",,,,,,,,,,,,,,,,,,
"142",,,,,,,,,,,,,,,,,,
"148",,,,,,,,,,,,,,,,,,
"154",,,,,,,"Not concerned","Very necessary","Confident",,,,,,,,,
"155",,,,,,,,,,,,,,,,"Moderately concerned","Slightly necessary","Confident"
"156",,,,,,,,,,"Moderately concerned","Slightly necessary","Confident",,,,,,
"157","Not concerned","Very necessary","Confident",,,,,,,,,,,,,,,
"158",,,,,,,,,,,,,,,,,,
"149","Not concerned","Necessary","Confident",,,,,,,,,,,,,,,
"150",,,,"Concerned","Slightly necessary","Moderately confident",,,,,,,,,,,,
"151",,,,,,,,,,,,,,,,,,
"152",,,,,,,,,,,,,,,,,,
"153",,,,,,,,,,,,,,,,,,
"164",,,,,,,,,,,,,,,,,,
"165",,,,,,,,,,,,,,,,,,
"166",,,,,,,,,,"Very concerned","Not necessary","Not confident",,,,,,
"167","Very concerned","Not necessary","Not confident",,,,,,,,,,,,,,,
"168",,,,,,,,,,,,,,,,,,
"159",,,,,,,,,,,,,,,,,,
"160",,,,,,,,,,"Very concerned","Slightly necessary","Slightly confident",,,,,,
"161",,,,,,,,,,,,,,,,"Very concerned","Slightly necessary","Slightly confident"
"162",,,,,,,,,,,,,,,,,,
"163","Very concerned","Slightly necessary","Slightly confident",,,,,,,,,,,,,,,
"169",,,,,,,,,,,,,,,,,,
"170",,,,,,,"Not concerned","Very necessary","Confident",,,,,,,,,
"171",,,,,,,,,,,,,,,,"Not concerned","Very necessary","Confident"
"172",,,,,,,,,,"Not concerned","Very necessary","Confident",,,,,,
"173",,,,,,,,,,,,,,,,,,
"174",,,,"Not concerned","Very necessary","Confident",,,,,,,,,,,,
"175","Not concerned","Very necessary","Confident",,,,,,,,,,,,,,,
"176",,,,,,,,,,,,,,,,,,
"177",,,,,,,,,,,,,,,,,,
"178",,,,"Moderately concerned","Slightly necessary","Very confident",,,,,,,,,,,,
"179","Slightly concerned","Necessary","Very confident",,,,,,,,,,,,,,,
"180",,,,"Very concerned","Not necessary","Very confident",,,,,,,,,,,,
"181","Very concerned","Not necessary","Very confident",,,,,,,,,,,,,,,
"182",,,,,,,,,,,,,,,,,,
"188",,,,"Slightly concerned","Not necessary","Slightly confident",,,,,,,,,,,,
