"participant_id","have_gmail","google_primary","google_owner","google_how_long","google_recall_app","google_recall_sso","generic_recall_app","generic_recall_sso","iuipcQ1","iuipcQ2","iuipcQ3","iuipcQ4","iuipcQ5","iuipcQ6","iuipcQ7","iuipcQ8","gender","age","education","background"
"27","Yes","Yes","Own Account","Less than or about 1 year","Unsure","Unsure",,,"Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Woman","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"28","Yes","Yes","Own Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Somewhat agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"29","Yes",,"Own Account","Less than or about 1 year","Unsure","Unsure",,,"Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Woman","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"30","Yes","Yes","Own Account","Less than or about 1 year","Yes","Yes",,,"Strongly disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Man","18 - 24","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"31","Yes","Yes","Own Account","Less than or about 5 years","Yes","Unsure",,,"Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Strongly agree","Man","18 - 24","Bachelor's Degree","I have an education in, or work in, the field of computer science, computer engineering or IT."
"36","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Woman","25 - 34","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"38","Yes","Yes","Own Account","Less than or about 1 year","No","Unsure",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Somewhat agree","Strongly agree","Strongly agree","Woman","45 - 54","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"39","Yes","Yes","Own Account","More than 10 years","No","Yes",,,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Woman","25 - 34","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"40","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Somewhat agree","Agree","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Man","35 - 44","Some college","I have an education in, or work in, the field of computer science, computer engineering or IT."
"42","Yes","Yes","Shared Account","Unsure","Yes","Yes",,,"Agree","Agree","Agree","Agree","Agree","Agree","Somewhat agree","Agree","Woman","18 - 24","Associate's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"45","Yes","Yes","Own Account","Less than or about 5 years","Unsure","Yes",,,"Agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree","Agree","Woman","35 - 44","High school","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"47","Yes","Yes","Own Account","Less than or about 10 years","Yes","Yes",,,"Somewhat agree","Somewhat agree","Agree","Agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Disagree","Woman","18 - 24","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"48","Yes","Yes","Own Account","Less than or about 5 years","Yes","Yes",,,"Neither agree nor disagree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Woman","45 - 54","Trade, technical, or vocational training","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"50","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Agree","Strongly agree","Neither agree nor disagree","Woman","35 - 44","Doctorate","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"51","Yes","Yes","Own Account","More than 10 years","Yes","Yes",,,"Agree","Agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Agree","Strongly agree","Non-binary","35 - 44","Bachelor's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"52","Yes","Yes","Institutional Account","Less than or about 5 years","No","Yes",,,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Somewhat agree","Agree","Woman","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
"54","Yes","Yes","Own Account","Less than or about 10 years","Yes","Unsure",,,"Agree","Strongly agree","Strongly agree","Agree","Agree","Somewhat agree","Agree","Agree","Man","25 - 34","Master's Degree","I do not have an education in, nor do I work in, the field of computer science, computer engineering or IT."
